rank,feature,mean_abs_shap_all,mean_abs_shap_human,mean_abs_shap_macro
1,seat_mouse_curvature_rad,0.1150894395,0.0152319193,0.2149469596
2,perf_mouse_curvature_rad,0.0782887273,0.0087381713,0.1478392833
3,perf_avg_mouse_speed,0.0767032756,0.0077770901,0.1456294610
4,perf_avg_click_duration,0.0551763779,0.0198041344,0.0905486214
5,seat_details_count,0.0318072689,0.0091628268,0.0544517111
6,seat_avg_mouse_speed,0.0312107030,0.0035936239,0.0588277821
7,selected_seat_count,0.0302346945,0.0099451061,0.0505242829
8,overall_mouse_curvature_rad,0.0298699199,0.0172227868,0.0425170529
9,perf_avg_straightness,0.0297924665,0.0088544996,0.0507304334
10,captcha_avg_mouse_speed,0.0271809522,0.0168643212,0.0374975832
11,perf_mouse_points,0.0199027345,0.0107598061,0.0290456629
12,captcha_click_count,0.0183122165,0.0044583146,0.0321661184
13,perf_click_count,0.0171789622,0.0311625861,0.0031953383
14,captcha_trusted_ratio,0.0159061410,0.0027911145,0.0290211675
15,captcha_status_success,0.0147578810,0.0009878445,0.0285279174
